"entrezgene_id"	"V2"
7454	42807.1293384
1800	954.852074184
637	258508.433119
9782	12752.8917552
29881	221.158511216
64132	205898.897273
84220	102.427204666
81551	0
23386	266491.369844
3670	100.756809586
55349	36606.4372869
53832	13506.0988478
1179	0
22802	0
55830	406355.609357
27032	297595.563121
3479	1400.37886532
92745	302968.647845
10928	460329.026193
22902	168399.462957
1272	18061.6129679
6556	9639.20747641
25937	124912.551075
8540	119064.40916
NA	491.061654837
63932	294658.056529
477	2812.51963144
55622	145236.148347
147948	34065.6066311
23584	583195.611838
23187	108628.902661
8685	87854.6069109
1591	96574.3873174
56981	30486.4804685
57586	42882.6108604
6591	63624.2605668
972	28136234.7126
3082	3688.10465895
54764	84115.073151
23154	290440.181791
25960	45689.4816778
NA	0
55734	53121.0290539
4331	83620.7483512
23034	118061.282467
864	20544.3201575
4361	72170.4162191
58473	223098.411638
1992	721447.869948
64816	110.117984538
11136	1453.5828371
6683	129621.49979
9369	1680.49053137
114879	109058.220618
9716	105909.260191
1373	2029.66508441
732	106.40568898
2273	125555.820863
51507	505504.72526
2554	687.104955943
55655	257493.036436
57210	63858.2098112
9921	648604.634811
55778	40933.8688155
64429	205002.256497
57476	16346.941543
6050	593363.546911
4719	195204.853256
9821	216479.79618
23071	321070.35416
211	485266.249492
330	65855.2565193
11215	202125.168316
51022	58568.0175592
6617	88557.4967748
51071	358075.459272
11171	1307700.07412
1244	931.903482756
50619	103031.102585
51177	49937.5918326
2730	238466.123318
23304	166147.933416
30846	970848.544093
55635	2754.2925157
25901	714487.864858
58528	642422.438125
3298	109833.275345
51230	154126.432164
8630	18787.8632959
10062	40165.2251307
1890	102314.042331
29781	274202.879567
10953	872833.275536
11231	594525.51096
23633	408901.656686
7431	7431183.43833
NA	2488.41229342
355	266602.627445
8635	63296.4745032
960	2087585.33708
3755	694.308373726
56895	5761.92448278
57823	10033.8605241
11119	132705.273562
4285	156483.635432
5583	118275.340823
3645	1309.30521079
3459	1121090.25632
11285	136025.905627
9047	10403.7823529
7444	106420.668863
7133	198393.689646
55591	263687.416673
5452	6164.44262247
65980	84123.1571515
6642	1952174.70374
9519	38264.1530364
56938	17922.7072852
9774	382208.651113
55334	234429.044623
286	430.234096086
3381	15401.8449344
51106	93185.1710341
9135	286779.705667
3149	142884.788617
23279	173531.164504
578	108302.182781
4593	0
22807	81278.2463258
2896	2209618.87477
51306	99168.054664
57514	117371.65473
55166	54289.373672
6301	1586574.0364
